place_geoid,place_name,state_fips,district_geoid,district_name,place_area_share_pct,crosswalk_method,crosswalk_confidence,crosswalk_validation_status,test_type,metric_name,metric_value,score_year,students_tested,participation_rate,aggregation_method,source_type,source_id,performance_confidence,performance_notes
1600000US1343640,Kingsland city,13,9700000US1300780,Camden County School District,100.000,census_tiger_2023_polygon_intersection,medium,candidate_spatial,SAT,average_composite,1081.3,2024-25,222,,official_district_average,official_state_export,georgia_goews_2024_25_scores_crosswalked,high,Georgia GOSA district average; All Students; highest/recent score export.
1600000US1365296,Rincon city,13,9700000US1301980,Effingham County School District,100.000,census_tiger_2023_polygon_intersection,medium,candidate_spatial,ACT,average_composite,20.8,2024-25,48,,official_district_average,official_state_export,georgia_goews_2024_25_scores_crosswalked,high,Georgia GOSA district average; All Students; highest/recent score export.
1600000US1365296,Rincon city,13,9700000US1301980,Effingham County School District,100.000,census_tiger_2023_polygon_intersection,medium,candidate_spatial,SAT,average_composite,1060.4,2024-25,282,,official_district_average,official_state_export,georgia_goews_2024_25_scores_crosswalked,high,Georgia GOSA district average; All Students; highest/recent score export.
1600000US1366276,Rockmart city,13,9700000US1304200,Polk County School District,100.000,census_tiger_2023_polygon_intersection,medium,candidate_spatial,ACT,average_composite,20,2024-25,26,,official_district_average,official_state_export,georgia_goews_2024_25_scores_crosswalked,high,Georgia GOSA district average; All Students; highest/recent score export.
1600000US1366276,Rockmart city,13,9700000US1304200,Polk County School District,100.000,census_tiger_2023_polygon_intersection,medium,candidate_spatial,SAT,average_composite,1015.4,2024-25,112,,official_district_average,official_state_export,georgia_goews_2024_25_scores_crosswalked,high,Georgia GOSA district average; All Students; highest/recent score export.
1600000US1349196,Madison city,13,9700000US1303780,Morgan County School District,100.000,census_tiger_2023_polygon_intersection,medium,candidate_spatial,ACT,average_composite,22.1,2024-25,44,,official_district_average,official_state_export,georgia_goews_2024_25_scores_crosswalked,high,Georgia GOSA district average; All Students; highest/recent score export.
1600000US1349196,Madison city,13,9700000US1303780,Morgan County School District,100.000,census_tiger_2023_polygon_intersection,medium,candidate_spatial,SAT,average_composite,1044.8,2024-25,83,,official_district_average,official_state_export,georgia_goews_2024_25_scores_crosswalked,high,Georgia GOSA district average; All Students; highest/recent score export.
1600000US1372122,South Fulton city,13,9700000US1302280,Fulton County School District,100.000,census_tiger_2023_polygon_intersection,medium,candidate_spatial,ACT,average_composite,24,2024-25,1303,,official_district_average,official_state_export,georgia_goews_2024_25_scores_crosswalked,high,Georgia GOSA district average; All Students; highest/recent score export.
1600000US1372122,South Fulton city,13,9700000US1302280,Fulton County School District,100.000,census_tiger_2023_polygon_intersection,medium,candidate_spatial,SAT,average_composite,1034,2024-25,4167.5,,official_district_average,official_state_export,georgia_goews_2024_25_scores_crosswalked,high,Georgia GOSA district average; All Students; highest/recent score export.
1600000US1377736,Tunnel Hill city,13,9700000US1305700,Whitfield County School District,100.000,census_tiger_2023_polygon_intersection,medium,candidate_spatial,ACT,average_composite,19.4,2024-25,88,,official_district_average,official_state_export,georgia_goews_2024_25_scores_crosswalked,high,Georgia GOSA district average; All Students; highest/recent score export.
1600000US1377736,Tunnel Hill city,13,9700000US1305700,Whitfield County School District,100.000,census_tiger_2023_polygon_intersection,medium,candidate_spatial,SAT,average_composite,1053.8,2024-25,172,,official_district_average,official_state_export,georgia_goews_2024_25_scores_crosswalked,high,Georgia GOSA district average; All Students; highest/recent score export.
1600000US1305708,Barwick city,13,9700000US1300540,Brooks County School District,55.084,census_tiger_2023_polygon_intersection,medium,candidate_spatial,SAT,average_composite,931.3,2024-25,30,,official_district_average,official_state_export,georgia_goews_2024_25_scores_crosswalked,high,Georgia GOSA district average; All Students; highest/recent score export.
1600000US1305708,Barwick city,13,9700000US1304890,Thomas County School District,44.916,census_tiger_2023_polygon_intersection,low,candidate_spatial,ACT,average_composite,19.9,2024-25,38,,official_district_average,official_state_export,georgia_goews_2024_25_scores_crosswalked,high,Georgia GOSA district average; All Students; highest/recent score export.
1600000US1305708,Barwick city,13,9700000US1304890,Thomas County School District,44.916,census_tiger_2023_polygon_intersection,low,candidate_spatial,SAT,average_composite,1016.2,2024-25,120,,official_district_average,official_state_export,georgia_goews_2024_25_scores_crosswalked,high,Georgia GOSA district average; All Students; highest/recent score export.
1600000US1353032,Morven city,13,9700000US1300540,Brooks County School District,100.000,census_tiger_2023_polygon_intersection,medium,candidate_spatial,SAT,average_composite,931.3,2024-25,30,,official_district_average,official_state_export,georgia_goews_2024_25_scores_crosswalked,high,Georgia GOSA district average; All Students; highest/recent score export.
1600000US1363224,Quitman city,13,9700000US1300540,Brooks County School District,100.000,census_tiger_2023_polygon_intersection,medium,candidate_spatial,SAT,average_composite,931.3,2024-25,30,,official_district_average,official_state_export,georgia_goews_2024_25_scores_crosswalked,high,Georgia GOSA district average; All Students; highest/recent score export.
1600000US1314920,Centerville city,13,9700000US1302880,Houston County School District,100.000,census_tiger_2023_polygon_intersection,medium,candidate_spatial,ACT,average_composite,21.3,2024-25,169,,official_district_average,official_state_export,georgia_goews_2024_25_scores_crosswalked,high,Georgia GOSA district average; All Students; highest/recent score export.
1600000US1314920,Centerville city,13,9700000US1302880,Houston County School District,100.000,census_tiger_2023_polygon_intersection,medium,candidate_spatial,SAT,average_composite,1061.4,2024-25,758,,official_district_average,official_state_export,georgia_goews_2024_25_scores_crosswalked,high,Georgia GOSA district average; All Students; highest/recent score export.
1600000US1331908,Gainesville city,13,9700000US1302310,Gainesville City School District,98.938,census_tiger_2023_polygon_intersection,medium,candidate_spatial,ACT,average_composite,21.4,2024-25,25,,official_district_average,official_state_export,georgia_goews_2024_25_scores_crosswalked,high,Georgia GOSA district average; All Students; highest/recent score export.
1600000US1331908,Gainesville city,13,9700000US1302310,Gainesville City School District,98.938,census_tiger_2023_polygon_intersection,medium,candidate_spatial,SAT,average_composite,1010.9,2024-25,174,,official_district_average,official_state_export,georgia_goews_2024_25_scores_crosswalked,high,Georgia GOSA district average; All Students; highest/recent score export.
1600000US1331908,Gainesville city,13,9700000US1302610,Hall County School District,1.062,census_tiger_2023_polygon_intersection,low,candidate_spatial,ACT,average_composite,20.8,2024-25,85,,official_district_average,official_state_export,georgia_goews_2024_25_scores_crosswalked,high,Georgia GOSA district average; All Students; highest/recent score export.
1600000US1331908,Gainesville city,13,9700000US1302610,Hall County School District,1.062,census_tiger_2023_polygon_intersection,low,candidate_spatial,SAT,average_composite,1038.5,2024-25,611,,official_district_average,official_state_export,georgia_goews_2024_25_scores_crosswalked,high,Georgia GOSA district average; All Students; highest/recent score export.
1600000US1379864,Wadley city,13,9700000US1303060,Jefferson County School District,100.000,census_tiger_2023_polygon_intersection,medium,candidate_spatial,SAT,average_composite,981.9,2024-25,21,,official_district_average,official_state_export,georgia_goews_2024_25_scores_crosswalked,high,Georgia GOSA district average; All Students; highest/recent score export.
1600000US1337564,Hazlehurst city,13,9700000US1303000,Jeff Davis County School District,100.000,census_tiger_2023_polygon_intersection,medium,candidate_spatial,SAT,average_composite,1097.4,2024-25,27,,official_district_average,official_state_export,georgia_goews_2024_25_scores_crosswalked,high,Georgia GOSA district average; All Students; highest/recent score export.
1600000US1309068,Bogart town,13,9700000US1303960,Oconee County School District,90.539,census_tiger_2023_polygon_intersection,medium,candidate_spatial,ACT,average_composite,24.4,2024-25,83,,official_district_average,official_state_export,georgia_goews_2024_25_scores_crosswalked,high,Georgia GOSA district average; All Students; highest/recent score export.
1600000US1309068,Bogart town,13,9700000US1303960,Oconee County School District,90.539,census_tiger_2023_polygon_intersection,medium,candidate_spatial,SAT,average_composite,1135.4,2024-25,326,,official_district_average,official_state_export,georgia_goews_2024_25_scores_crosswalked,high,Georgia GOSA district average; All Students; highest/recent score export.
1600000US1309068,Bogart town,13,9700000US1301170,Clarke County School District,9.461,census_tiger_2023_polygon_intersection,low,candidate_spatial,ACT,average_composite,19.2,2024-25,71,,official_district_average,official_state_export,georgia_goews_2024_25_scores_crosswalked,high,Georgia GOSA district average; All Students; highest/recent score export.
1600000US1309068,Bogart town,13,9700000US1301170,Clarke County School District,9.461,census_tiger_2023_polygon_intersection,low,candidate_spatial,SAT,average_composite,1014.9,2024-25,211,,official_district_average,official_state_export,georgia_goews_2024_25_scores_crosswalked,high,Georgia GOSA district average; All Students; highest/recent score export.
1600000US1383728,Winterville city,13,9700000US1301170,Clarke County School District,100.000,census_tiger_2023_polygon_intersection,medium,candidate_spatial,ACT,average_composite,19.2,2024-25,71,,official_district_average,official_state_export,georgia_goews_2024_25_scores_crosswalked,high,Georgia GOSA district average; All Students; highest/recent score export.
1600000US1383728,Winterville city,13,9700000US1301170,Clarke County School District,100.000,census_tiger_2023_polygon_intersection,medium,candidate_spatial,SAT,average_composite,1014.9,2024-25,211,,official_district_average,official_state_export,georgia_goews_2024_25_scores_crosswalked,high,Georgia GOSA district average; All Students; highest/recent score export.
1600000US1313492,Carrollton city,13,9700000US1300870,Carrollton City School District,99.498,census_tiger_2023_polygon_intersection,medium,candidate_spatial,ACT,average_composite,21.5,2024-25,37,,official_district_average,official_state_export,georgia_goews_2024_25_scores_crosswalked,high,Georgia GOSA district average; All Students; highest/recent score export.
1600000US1313492,Carrollton city,13,9700000US1300870,Carrollton City School District,99.498,census_tiger_2023_polygon_intersection,medium,candidate_spatial,SAT,average_composite,1052.9,2024-25,181,,official_district_average,official_state_export,georgia_goews_2024_25_scores_crosswalked,high,Georgia GOSA district average; All Students; highest/recent score export.
1600000US1313492,Carrollton city,13,9700000US1300840,Carroll County School District,0.502,census_tiger_2023_polygon_intersection,low,candidate_spatial,ACT,average_composite,20.9,2024-25,60,,official_district_average,official_state_export,georgia_goews_2024_25_scores_crosswalked,high,Georgia GOSA district average; All Students; highest/recent score export.
1600000US1313492,Carrollton city,13,9700000US1300840,Carroll County School District,0.502,census_tiger_2023_polygon_intersection,low,candidate_spatial,SAT,average_composite,1041.8,2024-25,310,,official_district_average,official_state_export,georgia_goews_2024_25_scores_crosswalked,high,Georgia GOSA district average; All Students; highest/recent score export.
1600000US1366696,Roopville town,13,9700000US1300840,Carroll County School District,100.000,census_tiger_2023_polygon_intersection,medium,candidate_spatial,ACT,average_composite,20.9,2024-25,60,,official_district_average,official_state_export,georgia_goews_2024_25_scores_crosswalked,high,Georgia GOSA district average; All Students; highest/recent score export.
1600000US1366696,Roopville town,13,9700000US1300840,Carroll County School District,100.000,census_tiger_2023_polygon_intersection,medium,candidate_spatial,SAT,average_composite,1041.8,2024-25,310,,official_district_average,official_state_export,georgia_goews_2024_25_scores_crosswalked,high,Georgia GOSA district average; All Students; highest/recent score export.
1600000US1377652,Tucker city,13,9700000US1301740,DeKalb County School District,99.972,census_tiger_2023_polygon_intersection,medium,candidate_spatial,ACT,average_composite,21.6,2024-25,602,,official_district_average,official_state_export,georgia_goews_2024_25_scores_crosswalked,high,Georgia GOSA district average; All Students; highest/recent score export.
