census_geoid,geography_type,state_fips,place_fips,geography_name,acs_vintage,total_population,white_alone_pct,black_alone_pct,asian_alone_pct,hispanic_or_latino_pct,foreign_born_pct,under_18_pct,source_id
1600000US2709730,place,27,09730,"Cannon Falls city, Minnesota",2024,4227,91.105,0.568,0.095,0.0,0.497,20.535,acs5_2024_place_demographics
1600000US2709802,place,27,09802,"Canton city, Minnesota",2024,398,94.221,0.0,0.0,3.015,2.513,31.658,acs5_2024_place_demographics
1600000US2709964,place,27,09964,"Carlos city, Minnesota",2024,512,93.164,1.367,0.0,1.758,0.586,23.633,acs5_2024_place_demographics
1600000US2710018,place,27,10018,"Carlton city, Minnesota",2024,875,91.771,3.086,0.0,0.0,0.343,12.571,acs5_2024_place_demographics
1600000US2710144,place,27,10144,"Carver city, Minnesota",2024,6239,89.181,0.224,6.251,0.433,6.812,29.909,acs5_2024_place_demographics
1600000US2710252,place,27,10252,"Cass Lake city, Minnesota",2024,635,13.228,0.945,0.472,2.992,0.472,35.118,acs5_2024_place_demographics
1600000US2710468,place,27,10468,"Cedar Mills city, Minnesota",2024,40,92.5,0.0,0.0,7.5,0.0,17.5,acs5_2024_place_demographics
1600000US2710576,place,27,10576,"Center City city, Minnesota",2024,651,91.551,1.843,1.075,3.533,3.226,9.831,acs5_2024_place_demographics
1600000US2710648,place,27,10648,"Centerville city, Minnesota",2024,3935,88.437,0.0,6.76,2.49,4.778,24.956,acs5_2024_place_demographics
1600000US2710792,place,27,10792,"Ceylon city, Minnesota",2024,259,86.1,0.0,0.0,15.444,0.386,25.097,acs5_2024_place_demographics
1600000US2710846,place,27,10846,"Champlin city, Minnesota",2024,23294,75.783,9.659,4.267,4.581,10.904,24.083,acs5_2024_place_demographics
1600000US2710900,place,27,10900,"Chandler city, Minnesota",2024,331,66.163,1.813,0.0,33.535,23.565,26.284,acs5_2024_place_demographics
1600000US2710918,place,27,10918,"Chanhassen city, Minnesota",2024,26006,84.761,1.284,5.972,3.626,8.959,24.852,acs5_2024_place_demographics
1600000US2710972,place,27,10972,"Chaska city, Minnesota",2024,28706,80.081,3.372,3.849,9.754,7.075,26.019,acs5_2024_place_demographics
1600000US2711008,place,27,11008,"Chatfield city, Minnesota",2024,2559,95.037,0.469,1.524,2.501,1.876,26.026,acs5_2024_place_demographics
1600000US2711296,place,27,11296,"Chickamaw Beach city, Minnesota",2024,248,97.984,0.0,0.0,0.806,0.0,31.452,acs5_2024_place_demographics
1600000US2711350,place,27,11350,"Chisago City city, Minnesota",2024,5899,86.015,0.492,2.831,3.95,1.509,21.936,acs5_2024_place_demographics
1600000US2711386,place,27,11386,"Chisholm city, Minnesota",2024,4712,93.251,0.0,0.0,0.361,0.0,22.05,acs5_2024_place_demographics
1600000US2711440,place,27,11440,"Chokio city, Minnesota",2024,392,98.98,0.0,0.0,0.0,0.255,16.837,acs5_2024_place_demographics
1600000US2711494,place,27,11494,"Circle Pines city, Minnesota",2024,4968,82.005,1.308,8.152,5.475,7.689,22.182,acs5_2024_place_demographics
1600000US2711548,place,27,11548,"Clara City city, Minnesota",2024,1466,87.995,0.546,0.0,11.323,4.775,27.899,acs5_2024_place_demographics
1600000US2711566,place,27,11566,"Claremont city, Minnesota",2024,502,86.454,0.0,0.0,10.159,4.582,31.673,acs5_2024_place_demographics
1600000US2711602,place,27,11602,"Clarissa city, Minnesota",2024,622,74.759,1.768,2.572,2.572,4.341,20.579,acs5_2024_place_demographics
1600000US2711656,place,27,11656,"Clarkfield city, Minnesota",2024,913,81.818,0.0,0.0,12.048,6.024,26.287,acs5_2024_place_demographics
1600000US2711674,place,27,11674,"Clarks Grove city, Minnesota",2024,636,68.868,0.0,25.629,2.83,24.057,21.855,acs5_2024_place_demographics
1600000US2711746,place,27,11746,"Clearbrook city, Minnesota",2024,584,87.671,0.0,0.685,0.0,0.685,25.171,acs5_2024_place_demographics
