District,District Name,Subgroup,Valid Tests,Participation Rate,Average English Score,Average Math Score,Average Reading Score,Average Science Score,Average Composite Score,Number Scoring 21 or Higher,Percent Scoring 21 or Higher,Number Scoring Below 19,Percent Scoring Below 19
720,Rhea County,Black/Hispanic/Native American,54,100,16.1,17.7,17.7,17.4,17.3,12,22.2,32,59.3
720,Rhea County,Economically Disadvantaged,93,100,15.8,17,16.7,17.3,16.8,17,18.3,64,68.8
720,Rhea County,English Learners,14,100,12.6,15.8,14.2,15.8,14.7,1,7.1,12,85.7
720,Rhea County,Students with Disabilities,25,100,12.5,14.8,13.8,15,14.1,1,4,24,96
730,Roane County,All Students,451,100,18.3,18.8,19.9,19.7,19.3,178,39.5,221,49
730,Roane County,Black/Hispanic/Native American,60,100,17,17.8,19,19.4,18.5,19,31.7,30,50
730,Roane County,Economically Disadvantaged,152,100,15.9,17.2,17.9,18.4,17.5,38,25,100,65.8
730,Roane County,English Learners,8,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students
730,Roane County,Students with Disabilities,58,100,12.4,15.2,13.8,16.3,14.6,3,5.2,52,89.7
740,Robertson County,All Students,844,99,17.3,17.6,19,18.7,18.3,250,29.6,478,56.6
740,Robertson County,Black/Hispanic/Native American,332,99,14.8,16.2,16.8,17.2,16.4,49,14.8,255,76.8
740,Robertson County,Economically Disadvantaged,246,100,15.3,16.4,17,17.3,16.6,40,16.3,183,74.4
740,Robertson County,English Learners,89,98,11.4,14.3,13.4,15.1,13.7,1,1.1,88,98.9
740,Robertson County,Students with Disabilities,68,96,13.4,14.9,15,16.9,15.2,7,10.3,58,85.3
750,Rutherford County,All Students,4509,99,19.5,18.8,20.2,19.9,19.8,1840,40.8,2097,46.5
750,Rutherford County,Black/Hispanic/Native American,2116,99,17,16.9,17.9,18.1,17.6,521,24.6,1336,63.1
750,Rutherford County,Economically Disadvantaged,1099,99,16.6,16.7,17.9,17.8,17.4,254,23.1,705,64.1
750,Rutherford County,English Learners,622,99,13.6,15.5,14.5,16.5,15.2,52,8.4,519,83.4
750,Rutherford County,Students with Disabilities,324,99,14,15.2,15.3,16,15.3,33,10.2,275,84.9
760,Scott County,All Students,131,99,17.6,16.4,19.1,18.4,18,37,28.2,71,54.2
760,Scott County,Black/Hispanic/Native American,4,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students
760,Scott County,Economically Disadvantaged,70,99,16.9,15.5,18.6,18.2,17.5,17,24.3,42,60
760,Scott County,Students with Disabilities,15,100,11.8,12.4,12.6,15.1,13.1,1,6.7,14,93.3
761,Oneida,All Students,94,100,18.6,19.2,20.2,19.6,19.6,37,39.4,46,48.9
761,Oneida,Black/Hispanic/Native American,2,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students
761,Oneida,Economically Disadvantaged,37,100,15.7,16.4,17.7,17.2,16.8,5,13.5,27,73
761,Oneida,Students with Disabilities,8,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students
770,Sequatchie County,All Students,131,99,18.8,18.6,20.3,19.6,19.4,55,42,57,43.5
770,Sequatchie County,Black/Hispanic/Native American,16,100,17.6,18.2,20.3,19.1,19.1,6,37.5,7,43.8
770,Sequatchie County,Economically Disadvantaged,44,100,16.8,17.8,18.4,19.1,18.2,14,31.8,24,54.5
770,Sequatchie County,English Learners,1,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students
770,Sequatchie County,Students with Disabilities,9,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students
780,Sevier County,All Students,1004,100,18.4,18.5,19.3,19.1,19,361,36,534,53.2
780,Sevier County,Black/Hispanic/Native American,268,100,15.4,16.2,16.7,16.9,16.5,45,16.8,199,74.3
780,Sevier County,Economically Disadvantaged,261,99,16,16.5,17.1,17.3,16.9,50,19.2,181,69.3
780,Sevier County,English Learners,136,100,12.7,14.8,14.3,15.5,14.5,7,5.1,122,89.7
780,Sevier County,Students with Disabilities,82,98,12.9,14.4,14.2,15.6,14.4,3,3.7,76,92.7
792,Memphis-Shelby County Schools,All Students,6579,100,15,16.2,16.9,17,16.4,1041,15.8,4918,74.8
792,Memphis-Shelby County Schools,Black/Hispanic/Native American,6187,100,14.5,15.9,16.5,16.7,16,810,13.1,4789,77.4
792,Memphis-Shelby County Schools,Economically Disadvantaged,4326,100,14,15.7,16.1,16.4,15.7,460,10.6,3506,81
792,Memphis-Shelby County Schools,English Learners,695,99,12.2,15,14.1,15.5,14.3,29,4.2,640,92.1
792,Memphis-Shelby County Schools,Students with Disabilities,510,100,12.1,14.7,14.3,15.6,14.3,31,6.1,462,90.6
793,Arlington,All Students,511,100,22.6,21.6,23.5,22.3,22.7,324,63.4,114,22.3
793,Arlington,Black/Hispanic/Native American,135,100,20.7,19.9,21.6,20.7,20.9,69,51.1,45,33.3
793,Arlington,Economically Disadvantaged,29,100,19.1,18.7,20.4,19.7,19.6,14,48.3,11,37.9
793,Arlington,English Learners,22,100,18.1,17.7,18.1,18,18.2,5,22.7,13,59.1
793,Arlington,Students with Disabilities,36,100,16.8,16.9,18.7,17.3,17.5,5,13.9,21,58.3
794,Bartlett,All Students,672,100,20.4,19.9,21.6,20.8,20.9,332,49.4,223,33.2
794,Bartlett,Black/Hispanic/Native American,314,100,18.9,18.6,20.1,19.7,19.5,120,38.2,137,43.6
794,Bartlett,Economically Disadvantaged,124,100,18.2,18.1,19.6,19.1,18.8,39,31.5,62,50
794,Bartlett,English Learners,29,100,16.3,16.9,16.5,17.4,16.9,6,20.7,20,69
794,Bartlett,Students with Disabilities,61,100,15.8,16.1,16.7,16.7,16.4,7,11.5,48,78.7
795,Collierville,All Students,716,100,23.5,23,24.5,23.4,23.7,497,69.4,154,21.5
795,Collierville,Black/Hispanic/Native American,219,100,19.7,19.5,21.2,20.3,20.3,102,46.6,88,40.2
795,Collierville,Economically Disadvantaged,74,100,17.1,17.6,18.9,18.9,18.3,23,31.1,43,58.1
795,Collierville,English Learners,32,100,19.3,22,20,20.5,20.6,14,43.8,15,46.9
795,Collierville,Students with Disabilities,72,100,16.9,16.9,19.1,18.5,18,19,26.4,47,65.3
796,Germantown,All Students,485,100,24.2,23,25.4,23.9,24.3,358,73.8,79,16.3
796,Germantown,Black/Hispanic/Native American,114,100,21.5,20.9,22.1,21,21.6,64,56.1,35,30.7
796,Germantown,Economically Disadvantaged,35,100,20.6,20.1,22.2,20.6,21,18,51.4,15,42.9
796,Germantown,English Learners,7,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students
796,Germantown,Students with Disabilities,39,100,17.3,17.2,20.6,18.5,18.5,13,33.3,24,61.5
