District,District Name,Subgroup,Valid Tests,Participation Rate,Average English Score,Average Math Score,Average Reading Score,Average Science Score,Average Composite Score,Number Scoring 21 or Higher,Percent Scoring 21 or Higher,Number Scoring Below 19,Percent Scoring Below 19
970,Department Of Children's Services Education Division,Economically Disadvantaged,50,41,13.1,14.5,14,15.3,14.4,<1%,<1%,Suppressed,Suppressed
970,Department Of Children's Services Education Division,English Learners,1,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students
970,Department Of Children's Services Education Division,Students with Disabilities,13,36,12.8,13.6,12.9,14.9,13.8,<1%,<1%,Suppressed,Suppressed
985,Achievement School District,All Students,86,97,12,15.5,15,15.3,14.6,7,8.1,75,87.2
985,Achievement School District,Black/Hispanic/Native American,83,97,11.9,15.5,14.9,15.3,14.5,6,7.2,73,88
985,Achievement School District,Economically Disadvantaged,61,95,11.8,15.4,15,15.4,14.5,5,8.2,54,88.5
985,Achievement School District,English Learners,7,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students
985,Achievement School District,Students with Disabilities,11,79,10.5,13.7,12.5,13.3,12.7,<1%,<1%,Suppressed,Suppressed
987,Tennessee Public Charter School Commission,All Students,76,95,12.7,15.3,15.5,15.3,14.9,2,2.6,68,89.5
987,Tennessee Public Charter School Commission,Black/Hispanic/Native American,72,95,12.9,15.3,15.6,15.2,14.9,2,2.8,64,88.9
987,Tennessee Public Charter School Commission,Economically Disadvantaged,50,94,12.6,15.3,15.7,15,14.8,2,4,45,90
987,Tennessee Public Charter School Commission,English Learners,14,93,11.1,14.8,13.9,14.6,13.9,<1%,<1%,>99%,>99%
987,Tennessee Public Charter School Commission,Students with Disabilities,9,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students
