#ASSMT_CD,HIGHEST_RECENT_IND,LONG_SCHOOL_YEAR,SCHOOL_DSTRCT_CD,SCHOOL_DSTRCT_NM,INSTN_NUMBER,INSTN_NAME,SUBGRP_DESC,TEST_CMPNT_TYP_CD,NATIONAL_NUM_TESTED_CNT,STATE_NUM_TESTED_CNT,DSTRCT_NUM_TESTED_CNT,INSTN_NUM_TESTED_CNT,NATIONAL_AVG_SCORE_VAL,STATE_AVG_SCORE_VAL,DSTRCT_AVG_SCORE_VAL,INSTN_AVG_SCORE_VAL
"ACT","Highest","2024-25","607","Barrow County","3052","Winder-Barrow High School","All Students","Mathematics","1380130.","12389","40","21","18.9","20.7","19.4","19"
"ACT","Highest","2024-25","607","Barrow County","3052","Winder-Barrow High School","All Students","Reading","1380130.","12389","40","21","20","22.7","21.3","23"
"ACT","Highest","2024-25","607","Barrow County","3052","Winder-Barrow High School","All Students","Science","1380130.","12190","37","20","19.6","21.6","20.6","22"
"ACT","Highest","2024-25","607","Barrow County","3052","Winder-Barrow High School","All Students","Writing Subscore","1380130.","1711","10","TFS","6.1","6.7","6.8","TFS"
"ACT","Highest","2024-25","608","Bartow County","0105","Adairsville High School","All Students","Composite","1380130.","12390","51","21","19.4","21.5","20.4","20.8"
"ACT","Highest","2024-25","608","Bartow County","0105","Adairsville High School","All Students","English","1380130.","12389","51","21","18.4","20.7","18.9","18.9"
"ACT","Highest","2024-25","608","Bartow County","0105","Adairsville High School","All Students","Mathematics","1380130.","12389","51","21","18.9","20.7","19.5","20.6"
"ACT","Highest","2024-25","608","Bartow County","0105","Adairsville High School","All Students","Reading","1380130.","12389","51","21","20","22.7","21.5","21.7"
"ACT","Highest","2024-25","608","Bartow County","0105","Adairsville High School","All Students","Science","1380130.","12190","48","19","19.6","21.6","21.7","22.2"
"ACT","Highest","2024-25","608","Bartow County","0105","Adairsville High School","All Students","Writing Subscore","1380130.","1711","10","TFS","6.1","6.7","7.4","TFS"
"ACT","Highest","2024-25","608","Bartow County","0114","Cass High School","All Students","Composite","1380130.","12390","51","13","19.4","21.5","20.4","20.3"
"ACT","Highest","2024-25","608","Bartow County","0114","Cass High School","All Students","English","1380130.","12389","51","13","18.4","20.7","18.9","18.5"
"ACT","Highest","2024-25","608","Bartow County","0114","Cass High School","All Students","Mathematics","1380130.","12389","51","13","18.9","20.7","19.5","19.1"
"ACT","Highest","2024-25","608","Bartow County","0114","Cass High School","All Students","Reading","1380130.","12389","51","13","20","22.7","21.5","21.6"
"ACT","Highest","2024-25","608","Bartow County","0114","Cass High School","All Students","Science","1380130.","12190","48","13","19.6","21.6","21.7","21.3"
"ACT","Highest","2024-25","608","Bartow County","0114","Cass High School","All Students","Writing Subscore","1380130.","1711","10","TFS","6.1","6.7","7.4","TFS"
"ACT","Highest","2024-25","608","Bartow County","0198","Woodland High School","All Students","Composite","1380130.","12390","51","17","19.4","21.5","20.4","20.1"
"ACT","Highest","2024-25","608","Bartow County","0198","Woodland High School","All Students","English","1380130.","12389","51","17","18.4","20.7","18.9","19.2"
"ACT","Highest","2024-25","608","Bartow County","0198","Woodland High School","All Students","Mathematics","1380130.","12389","51","17","18.9","20.7","19.5","18.6"
"ACT","Highest","2024-25","608","Bartow County","0198","Woodland High School","All Students","Reading","1380130.","12389","51","17","20","22.7","21.5","21"
"ACT","Highest","2024-25","608","Bartow County","0198","Woodland High School","All Students","Science","1380130.","12190","48","16","19.6","21.6","21.7","21.4"
"ACT","Highest","2024-25","608","Bartow County","0198","Woodland High School","All Students","Writing Subscore","1380130.","1711","10","TFS","6.1","6.7","7.4","TFS"
"ACT","Highest","2024-25","609","Ben Hill County","0291","Fitzgerald High School School College and Career Academy","All Students","Composite","1380130.","12390","TFS","TFS","19.4","21.5","TFS","TFS"
"ACT","Highest","2024-25","609","Ben Hill County","0291","Fitzgerald High School School College and Career Academy","All Students","English","1380130.","12389","TFS","TFS","18.4","20.7","TFS","TFS"
"ACT","Highest","2024-25","609","Ben Hill County","0291","Fitzgerald High School School College and Career Academy","All Students","Mathematics","1380130.","12389","TFS","TFS","18.9","20.7","TFS","TFS"
"ACT","Highest","2024-25","609","Ben Hill County","0291","Fitzgerald High School School College and Career Academy","All Students","Reading","1380130.","12389","TFS","TFS","20","22.7","TFS","TFS"
"ACT","Highest","2024-25","609","Ben Hill County","0291","Fitzgerald High School School College and Career Academy","All Students","Science","1380130.","12190","TFS","TFS","19.6","21.6","TFS","TFS"
"ACT","Highest","2024-25","609","Ben Hill County","0291","Fitzgerald High School School College and Career Academy","All Students","Writing Subscore","1380130.","1711","TFS","TFS","6.1","6.7","TFS","TFS"
"ACT","Highest","2024-25","610","Berrien County","0101","Berrien High School","All Students","Composite","1380130.","12390","TFS","TFS","19.4","21.5","TFS","TFS"
"ACT","Highest","2024-25","610","Berrien County","0101","Berrien High School","All Students","English","1380130.","12389","TFS","TFS","18.4","20.7","TFS","TFS"
